Year,Project,SUPPLIER,MFG,MFG Part #,Task Code,Material, Quantity ,UoM, Unit Price , Extended Price ,Order Date,Unnamed: 12,Inches,Feet,Schedule
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,2243881,ELECTRICAL CONDUIT,"6"" SCH 40 PVC 10' Stick w/ bell-end ( QTY 114)",1140,EA,$2.79 ,"$3,180.60 ",2/14/2020,,,,
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,SCH40-3IN-10FT-PVC-CONDUIT,1200,EA,$1.16 ,"$1,392.00 ",1/30/2020,,3,10,40
2022,Orchard,Gexpro,,,Electrical Conduit - Solar,PVC 200 2-IN-PVC-SCHED-40-CONDIT,1200,EA,$2.61 ,"$3,131.83 ",5/12/2023,,2,10,40
2022,Winquepin,Border States,,926009540,Electrical Conduit - Solar,"49008010 - 1"" 10' Stick SCH40 PVC",1200,LF,$1.34 ,"$1,607.16 ",6/1/2022,,1,10,80
2019,Santa Fe,Border States,,,Electrical Conduit - Solar,2 in. Schedule 40 PVC Conduit,1220,Ea,$1.04 ,"$1,262.70 ",4/16/2020,,2,10,40
2022,Falmouth,Border States,,49415010,Electrical Conduit - Solar,"4"" SCH 80PVC conduit",1250,EA,$9.66 ,"$12,075.00 ",6/22/2023,,4,10,80
2022,Tierra Bonita,Gexpro,ATKORE,400BE,Electrical Conduit - Solar,RXP 400BE 4-IN-BELL-END,1280,EA,$6.53 ,"$8,358.40 ",5/17/2023,,,,
2023,Markum Solar,Border States,PRIME CONDUIT,49017-010,Electrical Conduit - Solar,"6"" 10' Stick SCH40 PVC",1280,EA,$10.17 ,"$13,018.62 ",10/24/2023,,6,10,40
2020,Fighting Jays,Border States,,921767408,Electrical Conduit - Solar,1 in. Schedule 40 PVC Conduit (10' length) PN# 49008010,1300,EA,$0.92 ,"$1,200.68 ",2/24/2021,,1,10,40
2022,Orchard,Gexpro,,,Electrical Conduit - Solar,PVC 200 2-IN-PVC-SCHED-40-CONDUIT,1400,EA,$3.30 ,"$4,625.71 ",11/8/2023,,2,10,40
2019,Crane,Border States,,,ELECTRICAL CONDUIT,EPVC - SCH40 - 1IN - 10FT - PVC - CONDUIT,1500,FT,$0.28 ,$418.65 ,2/26/2020,,1,10,40
2019,Snipes 1,Border States,,,ELECTRICAL CONDUIT,"conduit-4"" sch 40",1500,EA,$2.15 ,"$3,225.00 ",3/13/2020,,4,10,40
2023,Hill Solar,Border States,,,Electrical Conduit - Solar, 8'' conduit SCH40 ,1500,EA,$21.28 ,"$31,927.20 ",6/23/2023,,8,10,40
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"SCH80 1"" PVC 10' STICKS",1500,FT,$1.51 ,"$2,260.05 ",4/1/2022,,1,10,80
2020,Fighting Jays,Border States,,922078213,Electrical Conduit - Solar,"SCH40-8"" CONDUIT-10' STICKS",1540,EA,$18.93 ,"$29,152.82 ",7/10/2021,,8,10,40
2022,Tierra Bonita,Gexpro,ATKORE,PVC600,Electrical Conduit - Solar,PVC 600 6-IN-PVC-SCHED-40-CONDUIT 10' Sticks,1540,FT,$12.81 ,"$19,727.40 ",5/17/2023,,6,10,40
2023,Markum Solar,Border States,PRIME CONDUIT,49415-010,Electrical Conduit - Solar,"4"" 10' Stick SCH80 PVC",1580,EA,$9.09 ,"$14,365.99 ",10/24/2023,,4,10,80
2022,Tierra Bonita,Gexpro,ATKORE,PVC60020,Electrical Conduit - Solar,PVC 600 6-IN-PVC-SCHED-40-CONDUIT 20' Sticks,1740,FT,$12.81 ,"$22,289.40 ",5/17/2023,,6,20,40
2018,Highlander,PO#481667 - Capital,,,ELECTRICAL CONDUIT,1-1/4 SCH80 CONDUIT,1800,EA,$1.00 ,"$1,796.04 ",9/8/2020,,1.25,10,80
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"10' SCH 40 8"" PVC CONDUIT",1800,100,$19.98 ,"$35,962.38 ",11/6/2023,,8,10,40
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,SCH80 - 1IN - 10 FT - PVC - Conduit,2000,EA,$0.45 ,$900.00 ,12/16/2019,,1,10,80
2022,Falmouth,Border States,,49009010,Electrical Conduit - Solar,1 1/4in Sch40 PVC Conduit,2000,EA,$1.54 ,"$3,080.00 ",6/22/2023,,1.25,10,40
2019,Santa Fe,Border States,33558152,,Electrical Conduit - Solar,EPVC - SCH80-4IN-10FT-PVC-CONDUIT,2030,LF,$2.60 ,"$5,278.00 ",3/31/2020,,4,10,80
2020,Emerald Grove,PO501630,,,Electrical Conduit - Solar,PVC 10080 1-IN-PVC-SCHED-80-CONDUIT,2100,ea,$2.03 ,"$4,263.00 ",5/26/2021,,1,10,80
2023,Hill Solar,Border States,,A52JA12V,Electrical Conduit - Solar,"8"" pipe 10ft stick",2170,100,$20.94 ,"$45,447.83 ",6/5/2023,,8,10,40
2018,Highlander,Border States,,59618-010,ELECTRICAL CONDUIT,"8"" Schedule 40 PVC Conduit -BE- 10'",2200,LF,$5.15 ,"$11,330.00 ",3/18/2020,,8,10,40
2021,TSN 2,Graybar,,,Electrical Conduit - Solar,6 INCH SCH40 COND,2240,LF,$13.87 ,"$31,064.32 ",2/3/2023,,6,10,40
2021,TSN 2,Graybar,,,Electrical Conduit - Solar,4 INCH BELL END,2280,EA,$5.25 ,"$11,963.39 ",2/3/2023,,,,
2022,Tierra Bonita,Gexpro,ATKORE,PVC 20080,Electrical Conduit - Solar,2-IN-PVC-SCHED-80-CONDUIT 10' Sticks,2380,LF,$4.02 ,"$9,559.75 ",7/26/2023,,2,10,80
2022,Orchard,Gexpro,,,Electrical Conduit - Solar,"2"" Schedule 40 PVC",2430,EA,$2.61 ,"$6,341.95 ",6/20/2021,,2,10,40
2020,Fighting Jays,Gexpro,,,Electrical Conduit - Solar,"SCH 80- 4"" BELL ENDS",2500,EA,$4.24 ,"$10,596.70 ",4/14/2021,,,,
2020,Fighting Jays,Border States,,,Electrical Conduit - Solar,8IN-PVC-SCH40 PN# 8INPVCSCH40 (10' lengths),2500,LF,$12.92 ,"$32,302.00 ",10/30/2020,,8,10,40
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"SCH80 4"" PVC Stick 10'",2500,,$9.49 ,"$23,715.50 ",9/15/2022,,4,10,80
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"SCH80 1"" PVC 10' STICKS",2500,FT,$1.51 ,"$3,766.75 ",4/15/2022,,1,10,80
2023,Hill Solar,Border States,,A52BA12,Electrical Conduit - Solar,"1"" pipe 10ft sticks",2540,100,$1.07 ,"$2,728.98 ",6/5/2023,,1,10,40
2018,Highlander,Border States,,49015SD-010,ELECTRICAL CONDUIT,"4"" SCH40 Split PVC Conduit 10' ",2550,FT,$6.60 ,"$16,830.00 ",3/18/2020,,4,10,40
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,"ITEM#-49015010- 4"" SCH 40 10FT BELL ENDED CONDUIT",2700,FT,$5.24 ,"$14,148.00 ",10/24/2023,,,,
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"4"" SCH40 Bell Ends",2720,EA,$6.94 ,"$18,871.24 ",6/9/2022,,,,
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"4"" SCH40 Bell Ends 2720 EA@$6.938",2720,EA,$6.94 ,"$18,871.24 ",,,,,
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,49409010- 1 1/4 SCH 80-10FT CONDUIT,2750,FT,$2.13 ,"$5,857.50 ",10/24/2023,,1.25,10,40
2020,Fighting Jays,Border States,,,Electrical Conduit - Solar,4 in. Schedule 40 PVC End Bell PN#E997N,3135,EA,$2.67 ,"$8,360.73 ",10/30/2020,,,,
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"1"" SCH40 Conduit 10' Stick",3500,,$1.10 ,"$3,845.00 ",5/15/2022,,1,10,40
2019,Maiden Creek,Gexpro,474407,,Electrical Conduit - Solar,PVC 200 2-IN-PVC-SCHED-40-CONDUIT Pn: 43435,3550,EA,$0.66 ,"$2,330.22 ",7/24/2020,,2,10,40
2022,Tierra Bonita,Gexpro,ATKORE,PVC 10080,Electrical Conduit - Solar,"1"" PVC Schedule 80 10' Sticks ",3590,LF,$2.28 ,"$8,181.11 ",7/26/2023,,1,10,80
