Year,Project,SUPPLIER,MFG,MFG Part #,Task Code,Material, Quantity ,UoM, Unit Price , Extended Price ,Order Date,Unnamed: 12,Inches,Feet,Schedule
2018,Columbia,Border States,,E997R,ELECTRICAL CONDUIT,"6"" Bell Ends",45,EA,$4.11 ,$184.95 ,8/23/2019,,,,
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,E997T- 8IN SCH40 BELL END,48,EA,$48.64 ,"$2,334.72 ",10/24/2023,,,,
2018,Columbia,"Lanier Municipal Supply Co., Inc",,,ELECTRICAL CONDUIT,"6"" Bell ends",50,EA,$7.35 ,$367.50 ,10/17/2019,,,,
2018,Columbia,"Lanier Municipal Supply Co., Inc",,,ELECTRICAL CONDUIT,"4"" Bell ends",50,EA,$4.29 ,$214.50 ,10/17/2019,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"6"" Bell ends",50,EA,$6.30 ,$314.92 ,10/25/2019,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"8 in PVC conduit sch 40 10' stick, per quote#25456508",50,,$14.64 ,$732.10 ,11/18/2019,,8,10,40
2022,Winquepin,Border States,,,Electrical Conduit - Solar,"BSE ITEM#-2243876-3"" SCH 40 10FT STICK",50,ea,$5.14 ,$256.91 ,6/14/2023,,3,10,40
2022,Winquepin,Border States,,,Electrical Conduit - Solar,BSE Item2243875-2 1/2 SCH 40 10 STICK,50,ea,$4.21 ,$210.35 ,6/14/2023,,2.5,10,40
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"10' SCH 80 1"" PVC CONDUIT",50,EA, $-   ,,5/15/2022,,1,10,80
2018,Columbia,Border States,,E997J,ELECTRICAL CONDUIT,"2"" Bell ends",51,EA,$1.72 ,$87.72 ,8/23/2019,,,,
2018,Columbia,Border States,,49011010,ELECTRICAL CONDUIT,"2"" PVC (10' sticks)",51,EA,$5.80 ,$295.80 ,8/23/2019,,2,10,
